customer_id,interaction_date,interaction_type,nps_last_research
670,2024-09-11,Email de Acompanhamento,
1000,2023-09-20,Email de Acompanhamento,
236,2024-11-23,Email de Acompanhamento,
761,2022-10-06,Reunião QBR,
132,2025-08-01,Reunião QBR,1.0
572,2024-09-21,Suporte Técnico,
10,2023-07-30,Email de Acompanhamento,0.0
490,2021-11-22,Suporte Técnico,0.0
328,2023-11-15,Suporte Técnico,2.0
819,2023-01-10,Email de Acompanhamento,9.0
138,2021-10-18,Reunião QBR,10.0
338,2021-03-01,Reunião QBR,10.0
222,2024-08-19,Email de Acompanhamento,1.0
690,2024-12-25,Reunião QBR,10.0
164,2025-05-28,Suporte Técnico,4.0
613,2020-05-16,Reunião QBR,7.0
644,2023-10-14,Email de Acompanhamento,
156,2022-04-04,Reunião QBR,3.0
809,2021-09-21,Suporte Técnico,
298,2021-12-29,Email de Acompanhamento,
932,2023-05-25,Email de Acompanhamento,0.0
14,2023-04-25,Suporte Técnico,
491,2021-08-25,Reunião QBR,
9,2021-10-12,Email de Acompanhamento,2.0
83,2021-08-26,Email de Acompanhamento,
231,2024-08-24,Suporte Técnico,2.0
340,2023-01-03,Email de Acompanhamento,
620,2023-04-08,Email de Acompanhamento,
768,2021-09-17,Reunião QBR,
367,2024-06-05,Email de Acompanhamento,2.0
160,2023-10-24,Reunião QBR,8.0
526,2021-08-14,Reunião QBR,
565,2023-12-20,Suporte Técnico,2.0
729,2024-08-09,Reunião QBR,
642,2021-11-15,Reunião QBR,
867,2022-07-22,Email de Acompanhamento,
517,2022-12-10,Reunião QBR,
72,2023-10-26,Suporte Técnico,6.0
123,2024-02-07,Reunião QBR,
334,2024-07-07,Reunião QBR,
123,2024-11-19,Email de Acompanhamento,1.0
873,2025-07-21,Suporte Técnico,7.0
28,2025-09-06,Suporte Técnico,
736,2022-01-03,Suporte Técnico,
883,2024-08-10,Suporte Técnico,4.0
133,2022-04-16,Reunião QBR,4.0
397,2022-09-04,Email de Acompanhamento,4.0
13,2022-01-26,Email de Acompanhamento,5.0
336,2023-08-20,Reunião QBR,
407,2024-10-16,Reunião QBR,0.0
888,2022-12-19,Suporte Técnico,
5,2025-06-21,Suporte Técnico,
441,2024-05-16,Email de Acompanhamento,
815,2025-05-10,Reunião QBR,2.0
576,2021-11-27,Reunião QBR,9.0
177,2021-09-17,Suporte Técnico,2.0
477,2025-10-22,Reunião QBR,
792,2021-04-06,Email de Acompanhamento,
398,2023-01-10,Email de Acompanhamento,
862,2023-10-22,Email de Acompanhamento,7.0
529,2021-10-30,Suporte Técnico,5.0
778,2020-10-14,Reunião QBR,
609,2026-02-05,Suporte Técnico,
881,2025-05-10,Reunião QBR,10.0
1,2022-10-10,Reunião QBR,9.0
722,2022-05-26,Email de Acompanhamento,8.0
388,2024-09-10,Email de Acompanhamento,
346,2023-06-16,Reunião QBR,
151,2026-04-28,Email de Acompanhamento,5.0
400,2022-08-17,Email de Acompanhamento,5.0
900,2023-06-04,Suporte Técnico,
769,2021-08-12,Email de Acompanhamento,8.0
408,2025-02-01,Suporte Técnico,
884,2021-06-24,Suporte Técnico,
337,2023-07-29,Reunião QBR,
888,2021-07-09,Reunião QBR,
716,2025-02-15,Suporte Técnico,2.0
298,2021-12-16,Suporte Técnico,
912,2022-12-05,Email de Acompanhamento,4.0
501,2021-03-22,Suporte Técnico,5.0
76,2023-08-22,Reunião QBR,
763,2023-02-19,Email de Acompanhamento,
585,2023-10-01,Reunião QBR,6.0
750,2022-01-05,Email de Acompanhamento,7.0
765,2023-08-17,Email de Acompanhamento,
824,2023-03-08,Suporte Técnico,0.0
786,2023-11-09,Suporte Técnico,
888,2023-07-31,Suporte Técnico,7.0
192,2025-02-27,Reunião QBR,
283,2022-06-06,Suporte Técnico,3.0
12,2022-09-15,Email de Acompanhamento,
675,2022-03-03,Email de Acompanhamento,10.0
684,2024-10-04,Reunião QBR,6.0
977,2022-05-12,Suporte Técnico,0.0
277,2024-03-09,Email de Acompanhamento,5.0
117,2023-06-07,Email de Acompanhamento,1.0
517,2022-07-24,Email de Acompanhamento,
712,2022-08-02,Suporte Técnico,1.0
938,2023-07-11,Reunião QBR,
895,2022-04-29,Email de Acompanhamento,
564,2021-02-10,Reunião QBR,
148,2023-06-03,Email de Acompanhamento,6.0
352,2022-04-03,Suporte Técnico,0.0
267,2024-12-12,Suporte Técnico,
374,2023-07-04,Reunião QBR,
295,2023-12-25,Reunião QBR,0.0
446,2023-02-26,Suporte Técnico,2.0
764,2026-04-11,Reunião QBR,6.0
432,2022-08-20,Suporte Técnico,5.0
811,2022-12-03,Reunião QBR,0.0
986,2023-04-26,Reunião QBR,
768,2021-03-25,Suporte Técnico,6.0
924,2022-10-24,Reunião QBR,7.0
625,2023-05-19,Email de Acompanhamento,
735,2023-01-08,Email de Acompanhamento,
502,2021-11-15,Suporte Técnico,5.0
807,2025-02-21,Reunião QBR,
328,2025-06-24,Email de Acompanhamento,
157,2024-08-24,Reunião QBR,0.0
694,2022-07-05,Email de Acompanhamento,
875,2023-07-13,Email de Acompanhamento,5.0
156,2020-11-21,Suporte Técnico,
418,2022-01-10,Suporte Técnico,1.0
860,2022-06-22,Email de Acompanhamento,
567,2020-09-11,Email de Acompanhamento,
501,2023-10-05,Email de Acompanhamento,
846,2026-09-08,Reunião QBR,
360,2025-01-01,Reunião QBR,6.0
176,2024-03-24,Reunião QBR,
737,2023-01-09,Suporte Técnico,
362,2023-12-11,Reunião QBR,8.0
317,2021-03-15,Suporte Técnico,5.0
939,2023-03-13,Email de Acompanhamento,
531,2024-05-24,Reunião QBR,
56,2024-08-01,Reunião QBR,
485,2022-08-09,Email de Acompanhamento,6.0
586,2022-04-01,Reunião QBR,5.0
467,2021-01-21,Suporte Técnico,
634,2022-11-15,Reunião QBR,8.0
937,2020-12-26,Suporte Técnico,1.0
586,2023-02-19,Suporte Técnico,9.0
253,2024-01-16,Reunião QBR,4.0
146,2022-01-09,Email de Acompanhamento,3.0
417,2025-03-27,Reunião QBR,1.0
492,2024-08-08,Reunião QBR,7.0
991,2026-07-02,Suporte Técnico,
757,2023-10-02,Email de Acompanhamento,
428,2022-10-18,Reunião QBR,
63,2022-02-13,Email de Acompanhamento,
732,2020-09-26,Reunião QBR,1.0
157,2023-07-22,Reunião QBR,
579,2023-07-08,Suporte Técnico,5.0
558,2022-07-06,Suporte Técnico,3.0
44,2024-02-03,Reunião QBR,4.0
661,2021-10-12,Reunião QBR,
280,2022-04-03,Email de Acompanhamento,
729,2022-10-20,Suporte Técnico,3.0
520,2025-09-03,Reunião QBR,4.0
850,2024-06-04,Reunião QBR,6.0
176,2024-01-27,Reunião QBR,2.0
490,2023-05-24,Reunião QBR,
211,2023-10-09,Email de Acompanhamento,1.0
667,2026-11-24,Reunião QBR,5.0
763,2024-05-26,Suporte Técnico,
118,2020-05-17,Suporte Técnico,
527,2020-12-17,Email de Acompanhamento,3.0
554,2022-06-27,Email de Acompanhamento,0.0
968,2023-04-28,Reunião QBR,9.0
764,2026-10-18,Suporte Técnico,
621,2023-09-07,Suporte Técnico,
76,2022-11-29,Reunião QBR,9.0
874,2024-02-07,Suporte Técnico,3.0
466,2022-03-17,Reunião QBR,
481,2025-08-05,Reunião QBR,
842,2021-01-13,Suporte Técnico,6.0
449,2023-09-25,Suporte Técnico,
772,2025-06-25,Suporte Técnico,0.0
735,2022-07-02,Reunião QBR,4.0
915,2024-11-06,Email de Acompanhamento,10.0
395,2024-07-06,Email de Acompanhamento,0.0
976,2022-07-14,Email de Acompanhamento,
618,2020-11-24,Reunião QBR,
667,2024-01-02,Email de Acompanhamento,5.0
445,2021-05-27,Reunião QBR,
770,2022-05-23,Email de Acompanhamento,
925,2022-09-29,Suporte Técnico,
886,2023-06-22,Suporte Técnico,
237,2022-03-24,Suporte Técnico,
787,2024-08-16,Reunião QBR,
430,2022-03-30,Reunião QBR,
72,2023-04-03,Reunião QBR,10.0
926,2024-12-15,Suporte Técnico,
846,2026-03-23,Email de Acompanhamento,
221,2023-11-10,Suporte Técnico,
791,2022-09-15,Reunião QBR,9.0
347,2022-02-19,Email de Acompanhamento,8.0
865,2026-08-10,Suporte Técnico,6.0
528,2021-11-20,Email de Acompanhamento,
80,2023-05-17,Email de Acompanhamento,
286,2024-03-12,Reunião QBR,
200,2021-06-23,Suporte Técnico,4.0
818,2022-06-24,Reunião QBR,4.0
518,2023-07-03,Reunião QBR,
888,2022-12-30,Suporte Técnico,4.0
597,2023-03-14,Email de Acompanhamento,7.0
341,2020-12-21,Suporte Técnico,
290,2025-09-13,Email de Acompanhamento,
336,2023-09-05,Suporte Técnico,5.0
519,2021-12-19,Suporte Técnico,
800,2024-12-18,Reunião QBR,8.0
572,2024-11-29,Reunião QBR,7.0
951,2023-11-06,Suporte Técnico,1.0
736,2023-06-06,Reunião QBR,5.0
566,2023-06-18,Reunião QBR,4.0
773,2025-04-01,Reunião QBR,
96,2024-02-07,Email de Acompanhamento,0.0
124,2023-02-27,Email de Acompanhamento,
108,2024-01-08,Suporte Técnico,10.0
356,2025-08-22,Email de Acompanhamento,9.0
581,2020-06-16,Reunião QBR,1.0
477,2025-10-13,Suporte Técnico,
332,2021-08-13,Email de Acompanhamento,2.0
922,2021-11-03,Email de Acompanhamento,
358,2025-02-16,Email de Acompanhamento,10.0
737,2021-06-05,Reunião QBR,
647,2023-03-06,Email de Acompanhamento,0.0
991,2024-03-23,Email de Acompanhamento,10.0
796,2022-06-06,Suporte Técnico,
435,2024-09-29,Reunião QBR,1.0
794,2024-02-22,Suporte Técnico,9.0
377,2023-12-21,Email de Acompanhamento,
91,2024-11-07,Suporte Técnico,5.0
598,2022-04-10,Email de Acompanhamento,
901,2024-06-29,Email de Acompanhamento,0.0
889,2023-10-31,Email de Acompanhamento,
926,2024-02-05,Email de Acompanhamento,
773,2025-04-15,Reunião QBR,7.0
271,2021-07-12,Email de Acompanhamento,
748,2023-10-30,Suporte Técnico,
638,2022-02-06,Reunião QBR,1.0
203,2024-11-10,Email de Acompanhamento,0.0
119,2025-03-06,Suporte Técnico,
392,2022-12-21,Email de Acompanhamento,
536,2025-03-28,Suporte Técnico,
206,2022-01-26,Email de Acompanhamento,1.0
314,2025-09-30,Email de Acompanhamento,4.0
900,2025-11-01,Reunião QBR,6.0
469,2023-07-29,Suporte Técnico,
450,2023-10-20,Reunião QBR,
831,2022-02-08,Suporte Técnico,
336,2023-06-04,Suporte Técnico,
845,2025-04-04,Suporte Técnico,
330,2021-05-13,Reunião QBR,
744,2025-04-11,Email de Acompanhamento,
161,2025-01-06,Reunião QBR,8.0
751,2025-07-05,Email de Acompanhamento,
412,2021-02-05,Reunião QBR,1.0
29,2025-03-29,Suporte Técnico,
452,2024-05-03,Suporte Técnico,6.0
346,2024-09-19,Suporte Técnico,
564,2022-08-30,Reunião QBR,7.0
901,2023-06-27,Reunião QBR,4.0
38,2022-11-22,Suporte Técnico,3.0
824,2023-04-02,Suporte Técnico,
489,2022-04-14,Email de Acompanhamento,
766,2021-08-04,Suporte Técnico,
712,2022-09-19,Suporte Técnico,
763,2022-06-17,Suporte Técnico,
559,2024-07-07,Suporte Técnico,9.0
649,2022-05-10,Reunião QBR,
157,2023-11-23,Suporte Técnico,
406,2021-09-29,Suporte Técnico,7.0
512,2023-12-13,Suporte Técnico,9.0
541,2020-03-09,Email de Acompanhamento,4.0
504,2024-12-03,Suporte Técnico,
810,2021-08-02,Email de Acompanhamento,
994,2021-07-10,Suporte Técnico,
140,2022-06-07,Reunião QBR,6.0
371,2020-11-10,Email de Acompanhamento,
653,2023-10-28,Reunião QBR,10.0
485,2023-04-18,Email de Acompanhamento,
447,2023-08-28,Reunião QBR,2.0
247,2025-09-16,Reunião QBR,10.0
168,2021-04-10,Reunião QBR,
307,2023-09-09,Suporte Técnico,2.0
206,2023-04-30,Suporte Técnico,0.0
572,2024-01-24,Suporte Técnico,
797,2025-08-03,Suporte Técnico,3.0
102,2023-12-10,Reunião QBR,7.0
164,2025-10-28,Suporte Técnico,1.0
519,2021-05-29,Suporte Técnico,
611,2021-12-29,Suporte Técnico,
841,2023-10-24,Reunião QBR,2.0
100,2023-02-03,Email de Acompanhamento,1.0
984,2023-09-24,Email de Acompanhamento,
853,2021-12-16,Reunião QBR,
953,2025-01-01,Email de Acompanhamento,6.0
60,2021-12-23,Suporte Técnico,
773,2024-10-24,Suporte Técnico,1.0
440,2023-11-18,Reunião QBR,
341,2020-10-14,Suporte Técnico,
43,2023-05-17,Reunião QBR,10.0
833,2022-12-20,Email de Acompanhamento,
198,2023-05-10,Suporte Técnico,4.0
374,2022-06-10,Suporte Técnico,
896,2022-04-23,Reunião QBR,3.0
915,2024-05-19,Suporte Técnico,3.0
455,2023-03-31,Suporte Técnico,7.0
629,2023-12-02,Email de Acompanhamento,
426,2022-11-16,Reunião QBR,5.0
776,2023-12-07,Email de Acompanhamento,10.0
81,2022-10-10,Email de Acompanhamento,9.0
913,2024-08-14,Reunião QBR,8.0
144,2023-11-02,Suporte Técnico,9.0
688,2025-09-10,Suporte Técnico,0.0
31,2021-12-18,Email de Acompanhamento,9.0
604,2025-06-28,Email de Acompanhamento,
796,2023-05-15,Email de Acompanhamento,
666,2024-09-12,Suporte Técnico,
468,2025-03-28,Reunião QBR,
614,2025-05-16,Suporte Técnico,
624,2026-01-29,Reunião QBR,
287,2024-12-15,Suporte Técnico,7.0
762,2022-05-25,Email de Acompanhamento,
582,2021-08-09,Reunião QBR,4.0
704,2023-01-15,Email de Acompanhamento,
933,2025-12-23,Suporte Técnico,2.0
126,2023-06-24,Email de Acompanhamento,4.0
644,2024-05-16,Email de Acompanhamento,
646,2023-11-13,Email de Acompanhamento,0.0
128,2022-12-22,Email de Acompanhamento,
318,2024-08-31,Suporte Técnico,6.0
791,2022-06-20,Suporte Técnico,
265,2021-12-04,Suporte Técnico,
104,2022-07-01,Email de Acompanhamento,3.0
898,2025-04-07,Email de Acompanhamento,
582,2022-06-14,Reunião QBR,0.0
214,2025-01-11,Reunião QBR,
534,2024-11-03,Suporte Técnico,6.0
84,2022-06-08,Suporte Técnico,4.0
870,2022-06-22,Reunião QBR,6.0
100,2023-03-04,Suporte Técnico,4.0
862,2024-06-01,Reunião QBR,
26,2023-10-02,Suporte Técnico,9.0
517,2023-02-20,Reunião QBR,
875,2024-06-26,Reunião QBR,
193,2024-06-06,Reunião QBR,9.0
336,2024-11-07,Email de Acompanhamento,
754,2023-04-03,Email de Acompanhamento,
611,2021-11-08,Email de Acompanhamento,2.0
173,2021-05-24,Email de Acompanhamento,
121,2022-08-23,Email de Acompanhamento,9.0
909,2021-09-27,Email de Acompanhamento,
934,2021-06-05,Email de Acompanhamento,8.0
721,2023-06-28,Email de Acompanhamento,
860,2023-10-25,Reunião QBR,9.0
901,2024-04-27,Email de Acompanhamento,5.0
367,2024-04-24,Suporte Técnico,
464,2021-04-02,Email de Acompanhamento,0.0
520,2025-11-25,Email de Acompanhamento,
201,2022-01-29,Email de Acompanhamento,0.0
759,2024-01-18,Reunião QBR,6.0
104,2023-11-17,Reunião QBR,0.0
299,2021-11-26,Reunião QBR,0.0
171,2025-02-09,Reunião QBR,7.0
597,2023-05-06,Reunião QBR,3.0
765,2024-01-24,Suporte Técnico,10.0
633,2020-08-20,Suporte Técnico,3.0
843,2021-01-01,Suporte Técnico,
862,2022-09-30,Reunião QBR,
524,2021-12-21,Reunião QBR,1.0
718,2022-02-06,Suporte Técnico,
949,2026-05-08,Suporte Técnico,
256,2024-11-09,Email de Acompanhamento,
397,2022-07-23,Reunião QBR,0.0
227,2024-07-07,Email de Acompanhamento,1.0
60,2024-05-15,Suporte Técnico,
815,2024-07-05,Email de Acompanhamento,
211,2025-07-06,Reunião QBR,5.0
887,2024-09-05,Reunião QBR,
249,2024-01-29,Email de Acompanhamento,
882,2020-12-18,Suporte Técnico,
644,2021-09-07,Reunião QBR,
149,2024-09-25,Email de Acompanhamento,
799,2026-08-23,Reunião QBR,
16,2024-10-30,Suporte Técnico,
661,2021-09-17,Suporte Técnico,
720,2024-08-08,Reunião QBR,5.0
418,2021-01-23,Email de Acompanhamento,0.0
386,2023-11-05,Email de Acompanhamento,
44,2024-10-26,Email de Acompanhamento,
775,2024-10-17,Email de Acompanhamento,
249,2026-07-31,Reunião QBR,4.0
428,2022-09-22,Email de Acompanhamento,2.0
15,2025-05-01,Email de Acompanhamento,
496,2024-01-24,Suporte Técnico,4.0
501,2022-05-21,Email de Acompanhamento,10.0
744,2024-11-04,Reunião QBR,6.0
111,2022-03-06,Suporte Técnico,
384,2022-03-07,Reunião QBR,
878,2024-10-24,Suporte Técnico,1.0
