customer_id,feature
479,Automations
479,Dashboards
649,Task Creation
649,Project Creation
649,Automations
273,Project Creation
273,Attachments
273,Task Creation
601,Project Creation
601,Advanced Reports
601,API Access
849,Attachments
849,Task Creation
19,Attachments
19,Task Creation
19,API Access
19,Advanced Reports
354,Attachments
354,Project Creation
354,Advanced Reports
869,Attachments
869,SSO
260,Project Creation
53,Comments
53,Dashboards
53,Automations
885,Project Creation
885,Task Creation
885,Permission Control
769,Comments
769,Automations
769,Permission Control
787,Project Creation
787,Automations
1,Task Creation
1,Project Creation
1,Dashboards
455,Task Creation
455,Attachments
455,SSO
455,API Access
289,Project Creation
289,Task Creation
289,API Access
289,SSO
347,Project Creation
347,Comments
347,Permission Control
347,Dashboards
191,Comments
191,Permission Control
902,Task Creation
902,Attachments
902,SSO
902,Advanced Reports
132,Comments
132,Project Creation
132,Task Creation
285,Attachments
285,Task Creation
838,Project Creation
838,Comments
838,SSO
838,API Access
599,Attachments
599,SSO
599,API Access
101,Task Creation
101,Attachments
101,API Access
825,Task Creation
158,Task Creation
158,Comments
158,SSO
158,Advanced Reports
958,Attachments
958,Comments
958,SSO
769,Comments
769,Attachments
769,Automations
831,Attachments
831,Project Creation
831,Permission Control
893,Task Creation
893,API Access
647,Task Creation
647,Project Creation
647,Permission Control
924,Project Creation
924,Dashboards
924,Permission Control
216,Comments
634,Attachments
634,Project Creation
634,Task Creation
534,Task Creation
534,API Access
977,Comments
977,Attachments
977,Project Creation
591,Comments
591,Permission Control
591,Automations
104,Task Creation
104,Attachments
104,Advanced Reports
173,Attachments
173,Project Creation
173,Permission Control
173,Dashboards
88,Project Creation
88,Permission Control
295,Attachments
295,Project Creation
295,SSO
270,Attachments
270,SSO
152,Comments
152,Task Creation
152,Dashboards
152,Automations
579,Comments
579,API Access
579,SSO
931,Project Creation
931,Comments
931,Automations
931,Dashboards
300,Project Creation
300,Attachments
300,Dashboards
300,Permission Control
565,Attachments
19,Attachments
19,Advanced Reports
865,Task Creation
865,Project Creation
865,Comments
455,Task Creation
455,SSO
455,Advanced Reports
233,Project Creation
915,Attachments
915,Project Creation
915,Task Creation
860,Project Creation
860,API Access
860,Advanced Reports
934,Project Creation
934,Task Creation
934,Dashboards
487,Project Creation
487,Comments
487,Attachments
694,Task Creation
694,Project Creation
694,Dashboards
694,Automations
666,Comments
666,Project Creation
908,Comments
908,Task Creation
908,Permission Control
960,Comments
960,Project Creation
838,Task Creation
838,Project Creation
838,Advanced Reports
10,Task Creation
10,Advanced Reports
10,SSO
667,Comments
850,Attachments
850,Project Creation
850,Task Creation
726,Task Creation
774,Comments
588,Project Creation
588,Attachments
588,Advanced Reports
588,API Access
971,Attachments
971,Project Creation
971,API Access
971,SSO
192,Project Creation
192,Dashboards
902,Task Creation
902,API Access
902,Advanced Reports
269,Comments
269,Attachments
296,Task Creation
296,API Access
156,Task Creation
156,Attachments
373,Task Creation
373,Permission Control
373,Dashboards
541,Attachments
376,Comments
376,Dashboards
890,Attachments
890,Task Creation
890,Automations
324,Task Creation
324,Comments
37,Comments
37,Project Creation
37,Task Creation
613,Attachments
613,Comments
613,API Access
167,Attachments
957,Task Creation
957,SSO
957,API Access
859,Comments
859,API Access
859,Advanced Reports
687,Attachments
687,Permission Control
687,Automations
816,Comments
816,Task Creation
816,Attachments
261,Project Creation
261,Automations
261,Permission Control
877,Task Creation
877,Advanced Reports
877,SSO
420,Comments
420,Task Creation
151,Attachments
151,Task Creation
151,Comments
829,Comments
829,SSO
410,Project Creation
410,API Access
410,SSO
115,Attachments
115,Task Creation
115,Comments
955,Attachments
955,Task Creation
955,Advanced Reports
955,SSO
353,Comments
353,Project Creation
353,Permission Control
353,Automations
299,Comments
299,Automations
299,Dashboards
707,Attachments
707,Comments
707,Automations
707,Permission Control
360,Project Creation
360,Comments
360,API Access
607,Project Creation
607,Automations
607,Dashboards
104,Project Creation
104,Task Creation
104,Advanced Reports
104,SSO
852,Attachments
828,Project Creation
729,Comments
731,Project Creation
731,Attachments
731,Comments
504,Attachments
504,Task Creation
504,Advanced Reports
504,API Access
789,Project Creation
789,Comments
972,Attachments
972,API Access
972,SSO
215,Task Creation
215,Comments
215,Permission Control
215,Dashboards
525,Task Creation
525,Comments
525,Permission Control
248,Project Creation
248,Comments
248,SSO
248,Advanced Reports
244,Comments
244,API Access
882,Attachments
882,SSO
333,Comments
333,Attachments
333,API Access
333,SSO
149,Comments
149,Dashboards
149,Permission Control
386,Project Creation
386,Advanced Reports
386,SSO
852,Task Creation
232,Comments
232,Attachments
232,Project Creation
370,Comments
370,Attachments
421,Task Creation
421,Advanced Reports
610,Task Creation
610,Permission Control
448,Comments
448,Task Creation
448,Automations
178,Project Creation
178,Attachments
184,Comments
359,Project Creation
359,Attachments
359,Dashboards
359,Automations
634,Project Creation
634,Attachments
634,Task Creation
255,Project Creation
255,API Access
255,Advanced Reports
551,Project Creation
551,SSO
551,Advanced Reports
504,Comments
504,SSO
201,Task Creation
201,Project Creation
201,API Access
201,SSO
74,Attachments
74,Comments
74,Automations
74,Dashboards
398,Project Creation
398,Task Creation
398,Permission Control
398,Automations
916,Attachments
916,Project Creation
916,API Access
916,Advanced Reports
791,Attachments
692,Attachments
692,Project Creation
692,Permission Control
692,Dashboards
73,Comments
73,Project Creation
73,Automations
73,Permission Control
949,Comments
949,Task Creation
949,Automations
949,Permission Control
161,Attachments
161,Task Creation
161,Advanced Reports
161,SSO
480,Project Creation
604,Comments
604,Project Creation
683,Project Creation
683,Comments
683,Task Creation
686,Task Creation
686,Project Creation
686,SSO
686,API Access
779,Task Creation
774,Project Creation
774,Attachments
774,Task Creation
879,Project Creation
879,API Access
879,Advanced Reports
339,Attachments
339,Project Creation
570,Attachments
570,Comments
570,SSO
95,Attachments
95,Permission Control
981,Attachments
981,API Access
981,SSO
834,Attachments
834,Comments
835,Attachments
835,Comments
835,Dashboards
5,Task Creation
5,Comments
5,Permission Control
350,Comments
784,Comments
784,API Access
784,Advanced Reports
482,Attachments
482,Comments
185,Project Creation
185,API Access
185,Advanced Reports
32,Project Creation
32,Attachments
32,SSO
302,Comments
302,Advanced Reports
302,API Access
661,Task Creation
661,Project Creation
661,Comments
538,Attachments
538,Dashboards
470,Comments
795,Project Creation
795,Attachments
795,Automations
795,Dashboards
674,Attachments
674,Comments
674,Dashboards
389,Comments
389,Attachments
389,SSO
9,Task Creation
9,Attachments
9,Advanced Reports
784,Attachments
784,SSO
784,API Access
687,Comments
687,Attachments
687,Permission Control
687,Dashboards
920,Attachments
920,SSO
117,Comments
117,Project Creation
117,SSO
178,Task Creation
178,Attachments
178,Project Creation
470,Comments
270,Attachments
270,Advanced Reports
229,Attachments
229,Task Creation
229,SSO
229,Advanced Reports
21,Attachments
21,Comments
316,Project Creation
316,Comments
316,Permission Control
778,Comments
996,Project Creation
368,Attachments
368,Advanced Reports
368,SSO
393,Task Creation
393,Automations
393,Dashboards
362,Comments
362,SSO
77,Comments
77,Project Creation
77,Attachments
353,Comments
353,Task Creation
353,Permission Control
83,Attachments
450,Project Creation
450,Dashboards
450,Permission Control
45,Project Creation
45,Attachments
132,Task Creation
132,Attachments
656,Comments
656,Task Creation
656,Permission Control
656,Dashboards
930,Comments
930,Permission Control
474,Project Creation
474,Comments
474,API Access
137,Project Creation
137,Attachments
137,Advanced Reports
247,Project Creation
247,Comments
612,Comments
612,Task Creation
612,Attachments
306,Attachments
306,Project Creation
306,Task Creation
900,Project Creation
900,Permission Control
900,Automations
694,Task Creation
694,Automations
694,Permission Control
192,Attachments
192,Automations
192,Dashboards
723,Task Creation
723,SSO
723,API Access
457,Project Creation
457,API Access
457,SSO
220,Project Creation
874,Comments
874,Attachments
874,Permission Control
874,Dashboards
25,Attachments
25,Comments
25,SSO
25,Advanced Reports
459,Comments
459,Attachments
227,Comments
227,Task Creation
227,Dashboards
227,Automations
907,Project Creation
907,Comments
907,Dashboards
102,Project Creation
102,Attachments
102,Comments
77,Comments
77,Project Creation
576,Comments
576,Permission Control
576,Dashboards
980,Attachments
33,Attachments
33,Project Creation
33,API Access
219,Project Creation
219,Attachments
219,Dashboards
219,Automations
440,Comments
440,Advanced Reports
440,API Access
302,Project Creation
302,Comments
302,Advanced Reports
302,SSO
674,Task Creation
674,Automations
78,Project Creation
78,Dashboards
912,Task Creation
296,Attachments
296,Task Creation
296,SSO
325,Attachments
325,Project Creation
325,SSO
27,Comments
27,Project Creation
27,Automations
773,Task Creation
773,Project Creation
773,Attachments
549,Attachments
549,Task Creation
549,Comments
274,Task Creation
274,SSO
49,Project Creation
38,Task Creation
38,Comments
38,Permission Control
38,Dashboards
495,Task Creation
495,Automations
193,Task Creation
193,Attachments
193,Advanced Reports
901,Comments
901,Attachments
901,Task Creation
82,Comments
82,Advanced Reports
82,SSO
961,Comments
28,Task Creation
28,Automations
28,Dashboards
922,Task Creation
569,Comments
569,Dashboards
569,Automations
509,Attachments
509,SSO
509,API Access
82,Attachments
82,Advanced Reports
311,Project Creation
311,Attachments
311,Comments
753,Comments
753,Task Creation
753,Dashboards
83,Project Creation
83,Attachments
510,Task Creation
510,Attachments
510,Permission Control
122,Attachments
122,Automations
122,Permission Control
309,Task Creation
309,Advanced Reports
564,Comments
564,Task Creation
564,SSO
206,Project Creation
126,Project Creation
126,SSO
126,API Access
419,Project Creation
419,Task Creation
692,Task Creation
692,Project Creation
692,Automations
636,Comments
636,API Access
636,SSO
861,Attachments
861,API Access
861,SSO
68,Attachments
68,Task Creation
68,Advanced Reports
100,Task Creation
100,API Access
28,Comments
28,Project Creation
28,Permission Control
28,Dashboards
991,Project Creation
91,Attachments
91,Comments
91,Advanced Reports
955,Attachments
955,API Access
499,Project Creation
499,Task Creation
499,Attachments
761,Comments
761,Automations
904,Task Creation
904,Attachments
904,API Access
419,Comments
419,Task Creation
381,Attachments
381,Dashboards
351,Attachments
933,Attachments
933,Task Creation
933,Project Creation
59,Comments
59,Task Creation
59,Advanced Reports
960,Task Creation
713,Attachments
713,Task Creation
119,Comments
119,Task Creation
119,Automations
119,Permission Control
337,Task Creation
337,Comments
337,SSO
738,Comments
738,Automations
738,Permission Control
568,Task Creation
568,Comments
136,Task Creation
136,Comments
845,Comments
845,Attachments
845,Dashboards
845,Permission Control
326,Attachments
326,Project Creation
326,Automations
450,Task Creation
450,Automations
443,Project Creation
443,Task Creation
443,Comments
420,Task Creation
282,Attachments
205,Comments
205,Task Creation
205,Permission Control
788,Comments
788,SSO
788,Advanced Reports
613,Task Creation
613,Project Creation
613,API Access
613,Advanced Reports
841,Attachments
841,Advanced Reports
498,Project Creation
498,Task Creation
498,API Access
498,Advanced Reports
867,Attachments
867,SSO
398,Attachments
398,Task Creation
398,Automations
398,Permission Control
425,Task Creation
425,SSO
425,Advanced Reports
285,Comments
285,Attachments
53,Comments
53,Permission Control
412,Comments
412,Attachments
412,Task Creation
225,Project Creation
225,Dashboards
329,Attachments
329,Advanced Reports
329,SSO
694,Project Creation
694,Task Creation
694,Dashboards
966,Task Creation
966,Automations
966,Permission Control
524,Comments
524,API Access
598,Task Creation
598,Permission Control
968,Comments
968,Project Creation
968,Attachments
249,Comments
249,Project Creation
249,Attachments
543,Attachments
543,Project Creation
543,SSO
110,Project Creation
110,Comments
110,Advanced Reports
976,Comments
976,Attachments
976,Advanced Reports
976,API Access
150,Comments
150,Project Creation
150,Task Creation
39,Project Creation
39,Automations
852,Project Creation
852,Attachments
454,Project Creation
302,Project Creation
302,Attachments
302,API Access
302,SSO
340,Project Creation
340,Task Creation
340,Automations
845,Task Creation
845,Attachments
845,Permission Control
845,Dashboards
459,Attachments
439,Comments
439,Project Creation
439,Permission Control
461,Task Creation
461,Attachments
775,Comments
775,Attachments
775,SSO
775,API Access
549,Comments
549,Project Creation
650,Project Creation
650,Task Creation
650,Permission Control
650,Dashboards
716,Task Creation
716,Comments
716,Permission Control
153,Project Creation
153,Attachments
153,Permission Control
153,Automations
134,Comments
134,Attachments
134,Task Creation
937,Attachments
769,Attachments
769,Permission Control
488,Project Creation
589,Attachments
589,Automations
276,Comments
276,Attachments
276,Project Creation
846,Attachments
846,Advanced Reports
846,API Access
171,Comments
299,Task Creation
299,Project Creation
299,Automations
299,Permission Control
92,Comments
92,Project Creation
92,Permission Control
92,Dashboards
311,Task Creation
311,Comments
417,Comments
417,Project Creation
417,Advanced Reports
417,SSO
731,Project Creation
371,Project Creation
371,Comments
371,Advanced Reports
933,Attachments
933,Project Creation
810,Task Creation
810,Project Creation
810,Attachments
273,Project Creation
273,Comments
273,Attachments
189,Attachments
189,Project Creation
743,Project Creation
743,Automations
743,Permission Control
737,Project Creation
737,Comments
737,Permission Control
737,Automations
301,Task Creation
301,Comments
301,Automations
446,Comments
446,Project Creation
446,API Access
446,Advanced Reports
987,Comments
987,Project Creation
323,Attachments
323,Task Creation
323,Permission Control
323,Dashboards
724,Task Creation
724,Dashboards
825,Project Creation
825,Task Creation
825,Comments
872,Task Creation
872,Advanced Reports
872,SSO
459,Attachments
459,Comments
691,Comments
691,Dashboards
135,Attachments
135,Project Creation
135,Task Creation
302,Comments
302,Task Creation
302,SSO
302,Advanced Reports
63,Attachments
63,Task Creation
63,Project Creation
607,Task Creation
607,Dashboards
601,Project Creation
601,Advanced Reports
327,Attachments
327,Automations
327,Dashboards
534,Attachments
534,API Access
61,Project Creation
61,Task Creation
61,Dashboards
61,Permission Control
140,Task Creation
353,Project Creation
353,Attachments
353,Dashboards
353,Automations
449,Task Creation
449,Comments
449,API Access
351,Project Creation
351,Comments
351,Task Creation
313,Task Creation
313,Attachments
313,API Access
708,Attachments
708,Task Creation
708,API Access
708,SSO
368,Comments
368,Task Creation
368,Advanced Reports
482,Project Creation
482,Attachments
61,Task Creation
61,Dashboards
61,Permission Control
696,Task Creation
696,Advanced Reports
696,API Access
183,Attachments
183,Automations
183,Dashboards
342,Project Creation
322,Comments
322,Task Creation
322,Permission Control
133,Project Creation
133,Attachments
661,Project Creation
661,Task Creation
6,Comments
6,Attachments
6,Permission Control
207,Project Creation
207,Dashboards
207,Automations
74,Comments
74,Permission Control
74,Automations
149,Attachments
149,Task Creation
149,Permission Control
697,Project Creation
697,API Access
697,SSO
342,Comments
342,Attachments
694,Project Creation
694,Dashboards
694,Automations
834,Comments
834,Project Creation
834,Attachments
136,Attachments
237,Attachments
237,SSO
151,Project Creation
151,Attachments
142,Attachments
142,Task Creation
142,Comments
576,Comments
576,Task Creation
576,Automations
664,Task Creation
664,Project Creation
664,Dashboards
664,Automations
743,Comments
743,Permission Control
743,Automations
595,Task Creation
595,Attachments
595,Permission Control
237,Project Creation
237,API Access
982,Comments
982,Attachments
982,Task Creation
291,Project Creation
291,Comments
291,Dashboards
238,Comments
959,Task Creation
409,Project Creation
409,Advanced Reports
409,SSO
925,Project Creation
925,Permission Control
925,Dashboards
552,Attachments
552,Task Creation
552,Automations
459,Attachments
459,Project Creation
459,Comments
722,Attachments
722,Project Creation
722,Automations
697,Comments
697,Advanced Reports
448,Comments
448,Task Creation
448,Permission Control
835,Task Creation
835,Attachments
835,Permission Control
335,Task Creation
335,Automations
90,Comments
90,Permission Control
90,Automations
706,Comments
706,Automations
258,Comments
258,SSO
258,Advanced Reports
23,Task Creation
23,Project Creation
23,Advanced Reports
82,Attachments
82,SSO
746,Project Creation
545,Task Creation
710,Comments
710,Task Creation
122,Comments
122,Task Creation
122,Dashboards
12,Comments
12,Project Creation
12,Automations
402,Comments
402,Advanced Reports
402,SSO
976,Task Creation
976,SSO
976,API Access
624,Attachments
624,SSO
624,API Access
946,Task Creation
946,Project Creation
53,Task Creation
53,Attachments
53,Permission Control
53,Automations
570,Project Creation
570,Comments
570,API Access
570,SSO
948,Project Creation
534,Attachments
534,Task Creation
534,API Access
534,Advanced Reports
433,Task Creation
433,Attachments
433,Permission Control
65,Task Creation
65,Attachments
65,Advanced Reports
253,Task Creation
253,Comments
600,Comments
600,Project Creation
600,Permission Control
268,Comments
268,Project Creation
268,API Access
268,SSO
903,Attachments
903,Task Creation
903,SSO
903,Advanced Reports
336,Attachments
336,Dashboards
336,Permission Control
725,Attachments
725,SSO
464,Task Creation
464,Comments
464,Attachments
844,Project Creation
844,Comments
844,Dashboards
844,Automations
722,Comments
722,Task Creation
722,Permission Control
722,Automations
528,Project Creation
528,Comments
326,Task Creation
326,Automations
16,Project Creation
16,Attachments
16,SSO
936,Project Creation
936,Task Creation
936,SSO
936,Advanced Reports
572,Attachments
572,Comments
572,Project Creation
660,Task Creation
660,Attachments
35,Attachments
35,Permission Control
561,Task Creation
561,Project Creation
561,API Access
561,SSO
168,Comments
168,Project Creation
168,Automations
168,Dashboards
670,Project Creation
670,Attachments
670,Advanced Reports
541,Project Creation
236,Task Creation
236,Comments
236,Project Creation
914,Project Creation
914,Attachments
914,Permission Control
909,Attachments
909,SSO
909,API Access
829,Task Creation
829,Advanced Reports
188,Project Creation
188,Comments
188,API Access
226,Comments
226,Task Creation
91,Project Creation
91,SSO
91,API Access
379,Project Creation
379,SSO
379,Advanced Reports
314,Comments
314,Dashboards
314,Automations
662,Task Creation
662,Comments
662,Automations
662,Dashboards
405,Comments
405,Automations
951,Attachments
951,Task Creation
951,Permission Control
951,Dashboards
348,Project Creation
348,Task Creation
348,Attachments
276,Comments
276,Task Creation
148,Attachments
148,Advanced Reports
696,Project Creation
696,Comments
696,Advanced Reports
630,Attachments
630,Project Creation
630,API Access
630,Advanced Reports
593,Attachments
593,Comments
593,Automations
675,Comments
675,Permission Control
53,Attachments
53,Permission Control
683,Task Creation
683,Attachments
683,Comments
565,Project Creation
565,Attachments
565,Task Creation
994,Attachments
994,Task Creation
994,Automations
994,Permission Control
978,Project Creation
978,Task Creation
978,Automations
451,Attachments
451,Task Creation
451,Automations
978,Project Creation
978,Permission Control
978,Automations
98,Project Creation
98,Task Creation
98,Attachments
339,Task Creation
339,Project Creation
843,Comments
843,API Access
553,Project Creation
553,Attachments
553,Advanced Reports
511,Project Creation
511,Attachments
822,Project Creation
822,API Access
822,SSO
159,Task Creation
159,SSO
159,API Access
537,Project Creation
537,API Access
538,Task Creation
538,Comments
538,Dashboards
766,Task Creation
766,Attachments
766,Permission Control
562,Project Creation
562,Attachments
659,Comments
659,Attachments
659,Automations
659,Dashboards
467,Attachments
467,Task Creation
467,Dashboards
467,Permission Control
6,Task Creation
6,Permission Control
6,Dashboards
230,Comments
230,SSO
785,Comments
785,Attachments
46,Comments
46,API Access
728,Task Creation
728,Attachments
728,Comments
870,Project Creation
870,Dashboards
428,Comments
428,Attachments
428,SSO
483,Attachments
483,Automations
483,Dashboards
199,Project Creation
199,Task Creation
550,Project Creation
752,Attachments
752,Project Creation
752,Task Creation
702,Comments
356,Attachments
356,Advanced Reports
936,Task Creation
936,Advanced Reports
936,API Access
434,Task Creation
844,Project Creation
844,Dashboards
844,Automations
281,Project Creation
281,Comments
281,Task Creation
369,Task Creation
84,Task Creation
84,Attachments
84,Dashboards
84,Permission Control
90,Task Creation
90,Permission Control
90,Dashboards
405,Attachments
405,Comments
405,Automations
36,Project Creation
36,Automations
36,Permission Control
17,Task Creation
17,Attachments
17,API Access
802,Task Creation
802,Attachments
802,Automations
301,Project Creation
301,Dashboards
83,Project Creation
83,Task Creation
83,Comments
14,Comments
14,Project Creation
726,Comments
726,Task Creation
726,Attachments
758,Project Creation
758,Attachments
758,SSO
18,Task Creation
18,Permission Control
18,Automations
549,Attachments
549,Project Creation
36,Attachments
36,Automations
769,Task Creation
769,Dashboards
769,Automations
92,Task Creation
92,Attachments
92,Dashboards
484,Comments
484,Task Creation
484,API Access
484,SSO
967,Task Creation
27,Project Creation
27,Task Creation
27,Permission Control
562,Task Creation
562,Comments
292,Comments
292,Automations
315,Task Creation
771,Attachments
771,Comments
771,API Access
534,Comments
534,Project Creation
534,API Access
653,Project Creation
653,API Access
228,Project Creation
228,Task Creation
228,Dashboards
451,Comments
451,Task Creation
451,Permission Control
451,Automations
904,Task Creation
904,Advanced Reports
743,Comments
743,Dashboards
195,Attachments
195,Project Creation
195,Task Creation
836,Comments
836,Project Creation
836,Advanced Reports
836,API Access
971,Task Creation
971,Project Creation
971,Advanced Reports
74,Task Creation
74,Dashboards
985,Task Creation
985,Comments
985,Attachments
307,Project Creation
307,Task Creation
307,Dashboards
254,Project Creation
254,Advanced Reports
813,Comments
271,Project Creation
271,Comments
271,Task Creation
420,Project Creation
420,Task Creation
570,Project Creation
570,Attachments
570,Advanced Reports
401,Comments
401,Attachments
401,Project Creation
942,Comments
942,Permission Control
305,Attachments
305,Permission Control
305,Dashboards
254,Attachments
254,Project Creation
254,API Access
138,Project Creation
138,Task Creation
138,API Access
436,Comments
436,Attachments
436,Task Creation
65,Task Creation
65,Project Creation
65,Advanced Reports
65,SSO
593,Comments
593,Dashboards
521,Project Creation
521,Task Creation
521,Dashboards
363,Comments
229,Attachments
229,Advanced Reports
778,Attachments
778,Comments
456,Task Creation
456,Comments
456,Advanced Reports
456,API Access
112,Comments
112,Task Creation
112,Project Creation
270,Attachments
270,SSO
5,Task Creation
5,Permission Control
5,Automations
736,Attachments
736,Task Creation
628,Comments
628,Project Creation
628,Permission Control
628,Dashboards
289,Attachments
289,Project Creation
289,Advanced Reports
289,SSO
622,Task Creation
622,Comments
622,Project Creation
443,Attachments
443,Project Creation
218,Attachments
218,Automations
183,Project Creation
183,Attachments
183,Dashboards
183,Automations
855,Comments
428,Project Creation
428,API Access
239,Task Creation
239,Permission Control
239,Dashboards
516,Comments
516,Attachments
516,Project Creation
568,Project Creation
568,Attachments
568,Task Creation
975,Attachments
975,Advanced Reports
975,API Access
630,Project Creation
630,Comments
630,SSO
630,Advanced Reports
733,Task Creation
733,Comments
733,Attachments
206,Attachments
537,Project Creation
537,Advanced Reports
537,SSO
494,Attachments
494,Dashboards
494,Automations
570,Comments
570,Advanced Reports
570,SSO
660,Comments
660,Attachments
643,Task Creation
643,API Access
535,Task Creation
535,Comments
535,Project Creation
139,Comments
139,SSO
919,Attachments
919,Task Creation
919,Project Creation
596,Comments
596,Attachments
596,Dashboards
440,Task Creation
440,Attachments
440,API Access
440,SSO
556,Comments
556,Attachments
652,Task Creation
652,SSO
652,Advanced Reports
918,Task Creation
918,Attachments
918,Automations
133,Project Creation
133,Comments
278,Task Creation
278,Project Creation
278,Advanced Reports
896,Attachments
896,Task Creation
896,SSO
896,Advanced Reports
806,Task Creation
806,Comments
806,Automations
806,Permission Control
232,Comments
232,Task Creation
232,Project Creation
257,Attachments
257,Task Creation
257,Dashboards
257,Automations
660,Task Creation
660,Attachments
660,Project Creation
66,Task Creation
66,Project Creation
66,SSO
66,Advanced Reports
473,Attachments
473,Project Creation
473,Advanced Reports
180,Comments
180,Automations
968,Attachments
892,Comments
892,Project Creation
892,Advanced Reports
704,Attachments
704,Project Creation
704,Dashboards
704,Permission Control
994,Project Creation
994,Automations
994,Dashboards
891,Attachments
774,Attachments
774,Project Creation
97,Project Creation
901,Attachments
378,Task Creation
601,Attachments
601,SSO
744,Comments
744,Project Creation
744,SSO
448,Task Creation
448,Permission Control
448,Dashboards
661,Comments
834,Project Creation
834,Comments
104,Task Creation
104,Project Creation
104,SSO
104,Advanced Reports
207,Attachments
207,Dashboards
207,Automations
361,Project Creation
361,SSO
361,API Access
188,Task Creation
188,Comments
188,SSO
188,API Access
674,Project Creation
674,Comments
674,Dashboards
154,Project Creation
154,SSO
219,Attachments
219,Permission Control
281,Task Creation
281,Comments
139,Attachments
139,Comments
139,SSO
116,Project Creation
116,Advanced Reports
116,SSO
667,Project Creation
667,Comments
667,Task Creation
872,Comments
872,Task Creation
872,Advanced Reports
661,Attachments
661,Project Creation
879,Comments
879,Task Creation
879,Advanced Reports
879,API Access
402,Comments
402,Advanced Reports
402,SSO
18,Task Creation
18,Permission Control
18,Dashboards
281,Project Creation
281,Comments
217,Comments
217,SSO
217,Advanced Reports
105,Task Creation
105,Comments
105,Advanced Reports
253,Comments
253,Attachments
89,Comments
89,Attachments
89,SSO
89,API Access
827,Comments
703,Attachments
703,Permission Control
521,Task Creation
521,Dashboards
282,Project Creation
282,Attachments
164,Project Creation
164,Permission Control
212,Attachments
212,Project Creation
212,Dashboards
212,Automations
463,Comments
191,Task Creation
191,Attachments
191,Dashboards
902,Attachments
902,SSO
995,Attachments
995,API Access
701,Comments
701,SSO
701,Advanced Reports
559,Task Creation
559,SSO
559,Advanced Reports
480,Attachments
480,Comments
480,Project Creation
687,Comments
687,Automations
687,Dashboards
78,Task Creation
78,Automations
23,Project Creation
23,Advanced Reports
643,Attachments
643,Task Creation
643,Advanced Reports
6,Task Creation
6,Dashboards
972,Attachments
972,Project Creation
972,Advanced Reports
972,API Access
727,Attachments
727,API Access
727,SSO
571,Project Creation
571,Attachments
571,API Access
806,Comments
806,Dashboards
