customer_id,contracting_date,plan,mrr,segment
46,2023-07-01,Enterprise,1749.32,Mid-Market
47,2023-10-21,Basic,91.14,SMB
48,2023-12-16,Basic,84.09,Enterprise
49,2021-10-30,Basic,81.48,Enterprise
50,2021-02-13,Basic,95.36,SMB
51,2020-11-30,Basic,27.91,SMB
52,2022-08-26,Basic,72.59,Mid-Market
53,2020-12-27,Pro,286.16,SMB
54,2020-01-24,Pro,293.4,Mid-Market
55,2020-09-14,Enterprise,972.55,SMB
56,2023-04-10,Enterprise,1632.48,Enterprise
57,2022-08-18,Basic,77.62,SMB
58,2020-01-14,Enterprise,1906.11,SMB
59,2020-10-07,Enterprise,1515.54,SMB
60,2020-03-31,Basic,55.84,SMB
61,2021-02-17,Pro,299.48,Enterprise
62,2020-04-30,Enterprise,1618.03,Enterprise
63,2020-03-06,Basic,89.58,Enterprise
64,2021-01-24,Pro,325.62,SMB
65,2021-07-21,Enterprise,969.96,Mid-Market
66,2022-04-17,Enterprise,1639.39,Mid-Market
67,2021-05-01,Pro,133.38,Mid-Market
68,2021-05-04,Enterprise,1870.18,Mid-Market
69,2020-11-29,Pro,158.39,Mid-Market
70,2020-10-04,Basic,68.72,SMB
71,2022-07-12,Enterprise,630.26,Mid-Market
72,2022-06-12,Pro,352.95,SMB
73,2021-12-26,Pro,203.24,SMB
74,2022-04-20,Pro,125.37,SMB
75,2021-04-25,Pro,443.19,Mid-Market
76,2022-11-10,Basic,43.7,Enterprise
77,2020-01-30,Basic,57.94,Enterprise
78,2023-04-08,Pro,155.16,SMB
79,2023-09-11,Pro,223.39,Enterprise
80,2021-10-27,Enterprise,1244.96,SMB
81,2020-07-05,Basic,57.53,SMB
82,2023-11-12,Enterprise,1551.95,SMB
83,2020-08-20,Basic,29.94,Enterprise
84,2020-11-25,Pro,243.96,Enterprise
85,2022-11-29,Enterprise,1837.77,Mid-Market
86,2022-09-18,Pro,391.53,Enterprise
87,2020-09-21,Enterprise,1657.14,SMB
88,2023-08-31,Pro,475.43,Enterprise
89,2023-07-29,Enterprise,1376.05,SMB
90,2022-02-14,Pro,404.65,Mid-Market
91,2021-08-22,Enterprise,511.42,SMB
92,2020-04-26,Pro,441.65,Enterprise
93,2022-06-16,Pro,409.97,Enterprise
94,2022-02-01,Pro,165.8,SMB
95,2023-04-26,Pro,170.32,SMB
96,2022-11-24,Pro,464.11,Enterprise
97,2023-09-14,Basic,91.68,Enterprise
98,2021-03-18,Basic,36.02,SMB
99,2023-07-01,Basic,97.25,Mid-Market
100,2021-02-27,Enterprise,1970.21,Mid-Market
101,2021-09-25,Enterprise,1253.0,Mid-Market
102,2022-02-02,Basic,63.57,Mid-Market
103,2023-07-31,Enterprise,1004.67,Mid-Market
104,2020-03-20,Enterprise,891.29,Enterprise
105,2021-03-17,Enterprise,1727.41,SMB
106,2022-03-27,Basic,64.86,SMB
107,2020-01-03,Pro,134.39,SMB
108,2020-03-09,Pro,240.33,Mid-Market
109,2023-04-20,Basic,42.74,SMB
110,2023-05-12,Enterprise,1627.83,Mid-Market
111,2023-08-25,Pro,291.37,Mid-Market
112,2021-12-05,Basic,45.31,SMB
113,2020-09-26,Pro,202.7,SMB
114,2023-10-09,Basic,52.08,Mid-Market
115,2021-03-23,Basic,83.7,Enterprise
116,2023-10-16,Enterprise,1660.27,SMB
117,2022-03-02,Enterprise,1937.91,Enterprise
118,2021-12-19,Basic,61.59,SMB
119,2021-12-18,Pro,300.26,Enterprise
120,2020-04-05,Pro,235.16,Mid-Market
121,2021-03-09,Basic,97.56,SMB
122,2023-05-05,Pro,362.6,Mid-Market
123,2021-07-28,Enterprise,1628.54,Mid-Market
124,2023-04-23,Pro,194.92,SMB
125,2020-06-24,Pro,225.13,Enterprise
126,2020-03-02,Enterprise,949.02,Mid-Market
127,2022-12-24,Enterprise,1176.71,SMB
128,2021-01-13,Pro,331.05,Mid-Market
129,2023-10-21,Enterprise,1661.0,SMB
130,2020-08-27,Enterprise,1006.14,Enterprise
131,2021-01-07,Pro,187.28,Mid-Market
132,2020-05-13,Basic,51.7,Mid-Market
133,2021-08-11,Basic,95.22,Mid-Market
134,2021-03-04,Basic,91.18,SMB
135,2021-01-11,Basic,93.81,Mid-Market
136,2023-01-13,Basic,90.68,Mid-Market
137,2022-01-12,Enterprise,1216.15,Mid-Market
138,2020-07-23,Enterprise,753.75,Enterprise
139,2021-11-19,Enterprise,1086.25,SMB
140,2023-05-20,Basic,22.08,SMB
141,2020-08-30,Enterprise,833.54,Mid-Market
142,2020-10-31,Basic,24.25,SMB
143,2020-09-01,Pro,312.91,Enterprise
144,2021-04-16,Enterprise,1700.87,SMB
145,2021-09-03,Enterprise,1234.32,Mid-Market
146,2022-08-21,Enterprise,1345.81,Enterprise
147,2023-10-28,Basic,96.47,Enterprise
148,2022-04-23,Enterprise,1927.27,Mid-Market
149,2022-07-08,Pro,107.95,Mid-Market
150,2020-10-20,Basic,45.88,Mid-Market
151,2023-08-13,Basic,26.54,Mid-Market
152,2022-04-10,Pro,496.98,SMB
153,2023-01-03,Pro,373.26,Enterprise
154,2020-08-20,Enterprise,1209.17,SMB
155,2021-04-17,Basic,94.09,Enterprise
156,2021-03-18,Basic,98.15,Mid-Market
157,2022-02-18,Basic,43.27,Mid-Market
158,2020-02-25,Enterprise,869.47,SMB
159,2022-02-12,Enterprise,701.73,SMB
160,2022-12-12,Pro,286.72,SMB
161,2022-12-22,Enterprise,1326.97,Mid-Market
162,2022-11-13,Enterprise,1021.72,Enterprise
163,2022-05-20,Enterprise,859.42,SMB
164,2022-08-09,Pro,338.24,Enterprise
165,2022-10-30,Enterprise,1232.24,Enterprise
166,2022-01-02,Basic,67.29,Enterprise
167,2020-03-13,Basic,79.78,Mid-Market
168,2020-03-02,Pro,108.25,Mid-Market
169,2021-07-19,Pro,224.29,SMB
170,2020-12-11,Basic,61.9,Mid-Market
171,2022-03-21,Basic,35.32,SMB
172,2021-05-10,Enterprise,1351.23,Enterprise
173,2021-09-02,Pro,406.35,Mid-Market
174,2020-12-30,Enterprise,1658.7,Enterprise
175,2021-09-30,Basic,64.7,Mid-Market
176,2022-02-21,Pro,443.35,SMB
177,2022-09-20,Basic,88.42,Mid-Market
178,2021-08-28,Basic,69.04,Enterprise
179,2020-03-18,Pro,301.27,Mid-Market
180,2021-02-28,Pro,283.63,Mid-Market
181,2020-02-18,Pro,489.59,Mid-Market
182,2022-07-05,Basic,50.54,Enterprise
183,2020-05-22,Pro,449.77,SMB
184,2021-01-28,Basic,81.16,Mid-Market
185,2022-05-27,Enterprise,772.86,SMB
186,2020-08-05,Basic,99.43,SMB
187,2021-09-22,Pro,428.4,Enterprise
188,2021-07-08,Enterprise,1874.93,SMB
189,2020-12-21,Basic,34.04,Mid-Market
190,2021-05-25,Enterprise,733.05,Mid-Market
191,2021-01-22,Pro,136.29,Enterprise
192,2020-02-12,Pro,149.06,SMB
193,2021-06-04,Enterprise,1370.88,SMB
194,2022-05-19,Enterprise,1721.5,Enterprise
195,2021-02-08,Basic,95.8,Mid-Market
196,2021-03-06,Enterprise,1190.7,SMB
197,2022-08-17,Basic,97.57,Enterprise
198,2021-03-05,Pro,493.5,Mid-Market
199,2022-11-20,Basic,84.05,Enterprise
200,2022-07-18,Pro,121.49,SMB
201,2021-04-12,Enterprise,1905.34,Mid-Market
202,2022-11-19,Pro,261.51,Enterprise
203,2022-02-28,Pro,154.63,Enterprise
204,2022-10-03,Enterprise,549.49,SMB
205,2021-01-22,Pro,360.41,Enterprise
206,2020-09-15,Basic,66.32,Enterprise
207,2020-12-01,Pro,322.27,SMB
208,2022-01-14,Basic,76.64,Enterprise
209,2022-02-22,Enterprise,818.26,SMB
210,2021-08-23,Enterprise,1887.71,Enterprise
211,2022-10-29,Basic,43.08,Enterprise
212,2021-11-08,Pro,439.54,Enterprise
213,2023-07-23,Basic,28.49,Enterprise
214,2021-01-01,Basic,82.37,Enterprise
215,2022-09-26,Pro,108.07,Enterprise
216,2022-02-19,Basic,44.11,SMB
217,2020-11-15,Enterprise,880.7,Enterprise
218,2022-08-21,Pro,461.04,Mid-Market
219,2021-02-06,Pro,144.19,SMB
220,2020-10-30,Basic,20.44,Mid-Market
221,2023-02-01,Enterprise,1189.77,Enterprise
222,2021-06-03,Pro,495.66,SMB
223,2023-04-28,Pro,438.87,Mid-Market
224,2022-02-22,Enterprise,1176.04,Enterprise
225,2023-07-22,Pro,344.81,Enterprise
226,2023-06-09,Basic,33.58,Enterprise
227,2020-01-26,Pro,154.67,Mid-Market
228,2022-06-26,Pro,294.18,Mid-Market
229,2020-05-28,Enterprise,1507.98,Mid-Market
230,2022-10-25,Enterprise,742.51,SMB
231,2021-12-13,Pro,345.47,Enterprise
232,2020-09-14,Basic,54.39,Mid-Market
233,2021-11-08,Basic,81.53,Enterprise
234,2021-06-20,Enterprise,535.78,Mid-Market
235,2021-08-30,Pro,417.88,Mid-Market
236,2020-01-10,Basic,64.35,Mid-Market
237,2022-12-06,Enterprise,1084.72,Enterprise
238,2023-02-04,Basic,98.1,Enterprise
239,2022-06-23,Pro,179.5,SMB
240,2021-08-31,Enterprise,1573.76,Enterprise
241,2021-02-09,Basic,44.93,Mid-Market
242,2022-11-12,Pro,464.01,Enterprise
243,2023-11-28,Pro,297.64,Mid-Market
244,2021-05-03,Enterprise,1233.62,Mid-Market
245,2021-10-23,Basic,52.48,Enterprise
246,2022-07-19,Pro,366.81,SMB
247,2022-06-03,Basic,78.11,SMB
248,2022-11-11,Enterprise,1603.35,Mid-Market
249,2021-06-28,Basic,78.8,SMB
250,2023-12-15,Enterprise,1361.62,Enterprise
251,2021-03-25,Enterprise,544.32,SMB
252,2021-04-15,Enterprise,1209.75,SMB
253,2021-08-23,Basic,97.71,Mid-Market
254,2020-10-07,Enterprise,761.52,SMB
255,2020-02-27,Enterprise,1560.9,SMB
256,2023-02-27,Pro,103.17,SMB
257,2022-08-18,Pro,101.35,Mid-Market
258,2023-11-19,Enterprise,900.73,Enterprise
259,2022-12-06,Basic,81.14,SMB
260,2020-07-16,Basic,71.75,Enterprise
261,2023-09-05,Pro,317.45,SMB
262,2020-08-24,Pro,418.42,SMB
263,2022-08-19,Basic,49.47,SMB
264,2022-06-06,Pro,292.75,SMB
265,2023-01-26,Pro,329.98,SMB
266,2021-03-19,Pro,232.01,SMB
267,2023-06-13,Pro,383.11,Enterprise
268,2022-03-03,Enterprise,530.74,Enterprise
269,2023-01-16,Basic,32.05,Enterprise
270,2022-07-06,Enterprise,982.96,SMB
271,2020-05-30,Basic,81.94,Mid-Market
272,2022-03-03,Enterprise,1748.1,SMB
273,2023-08-13,Basic,90.99,Mid-Market
274,2023-09-18,Enterprise,1655.6,Mid-Market
275,2021-09-10,Basic,40.34,SMB
276,2021-08-21,Basic,91.37,SMB
277,2022-08-01,Pro,156.38,Enterprise
278,2023-03-09,Enterprise,1153.41,SMB
279,2023-03-02,Pro,308.81,Mid-Market
280,2020-03-28,Basic,28.81,Enterprise
281,2021-01-23,Basic,23.82,Mid-Market
282,2020-08-09,Basic,89.25,Mid-Market
283,2022-04-06,Enterprise,1351.79,Mid-Market
284,2022-10-25,Enterprise,1114.88,Enterprise
285,2020-03-03,Basic,80.57,Mid-Market
286,2020-08-10,Basic,76.75,Mid-Market
287,2022-05-26,Enterprise,1079.8,Mid-Market
288,2021-09-03,Basic,90.61,SMB
289,2020-07-31,Enterprise,946.82,SMB
290,2022-12-07,Enterprise,1809.79,Enterprise
291,2021-06-13,Pro,173.07,Mid-Market
292,2021-10-18,Pro,386.21,SMB
293,2022-09-09,Pro,179.66,SMB
294,2023-08-27,Pro,323.07,SMB
295,2021-03-17,Enterprise,848.39,SMB
296,2023-04-29,Enterprise,618.68,Enterprise
297,2020-05-10,Basic,31.14,Mid-Market
298,2020-07-03,Enterprise,1090.4,Enterprise
299,2022-06-02,Pro,321.05,Enterprise
300,2022-09-11,Pro,266.54,SMB
301,2023-12-04,Pro,278.42,SMB
302,2023-11-26,Enterprise,863.57,SMB
303,2021-10-12,Basic,77.69,Mid-Market
304,2022-07-12,Basic,68.35,Mid-Market
305,2023-01-24,Pro,369.92,SMB
306,2023-11-04,Basic,45.64,Mid-Market
307,2021-10-14,Pro,178.59,Mid-Market
308,2020-01-20,Basic,94.83,Mid-Market
309,2023-04-17,Enterprise,1621.55,Mid-Market
310,2023-05-15,Basic,30.63,SMB
311,2021-11-22,Basic,45.82,Mid-Market
312,2023-12-20,Basic,88.09,Enterprise
313,2020-05-19,Enterprise,1442.15,Mid-Market
314,2023-12-02,Pro,352.99,Mid-Market
315,2023-03-12,Basic,38.31,Mid-Market
316,2020-11-13,Pro,451.86,SMB
317,2021-05-27,Enterprise,1639.56,Enterprise
318,2021-12-04,Pro,484.77,Mid-Market
319,2020-06-03,Enterprise,686.04,SMB
320,2021-04-07,Basic,25.34,SMB
321,2020-02-11,Basic,60.43,SMB
322,2022-06-11,Pro,233.95,Enterprise
323,2021-09-26,Pro,369.03,Mid-Market
324,2020-11-02,Basic,49.87,Mid-Market
325,2023-05-14,Enterprise,1774.82,SMB
326,2023-09-26,Pro,213.9,Enterprise
327,2020-12-26,Pro,319.08,Enterprise
328,2021-07-17,Enterprise,1415.59,Enterprise
329,2022-08-18,Enterprise,1142.89,Enterprise
330,2021-06-21,Basic,24.95,Enterprise
331,2020-09-03,Pro,245.49,Mid-Market
332,2022-04-07,Enterprise,818.53,SMB
333,2021-06-13,Enterprise,1813.74,SMB
334,2020-07-13,Pro,410.18,SMB
335,2020-10-02,Pro,355.12,Mid-Market
336,2020-05-25,Pro,385.43,Mid-Market
337,2022-10-26,Enterprise,1398.79,Enterprise
338,2023-02-24,Pro,332.27,SMB
339,2022-10-07,Basic,77.24,Mid-Market
340,2021-12-18,Pro,301.45,Enterprise
341,2021-06-23,Pro,159.87,Mid-Market
342,2022-03-30,Basic,29.89,Mid-Market
343,2023-02-25,Enterprise,962.61,Enterprise
344,2021-08-01,Pro,446.49,Mid-Market
345,2020-10-15,Basic,75.21,SMB
346,2020-11-22,Basic,29.95,Enterprise
347,2020-09-28,Pro,303.1,SMB
348,2021-08-22,Basic,57.14,SMB
349,2022-06-02,Basic,26.48,Mid-Market
350,2022-04-01,Basic,98.7,Mid-Market
351,2021-05-13,Basic,48.02,SMB
352,2021-06-06,Basic,55.91,SMB
353,2023-06-03,Pro,240.13,Enterprise
354,2023-02-10,Enterprise,1797.42,SMB
355,2023-04-17,Enterprise,739.44,SMB
356,2022-07-16,Enterprise,1810.21,Mid-Market
357,2020-05-10,Enterprise,1757.94,SMB
358,2020-01-02,Basic,68.37,Enterprise
359,2021-04-22,Pro,385.05,Enterprise
360,2022-03-18,Enterprise,1924.89,SMB
361,2022-03-04,Enterprise,1220.1,SMB
362,2022-03-02,Enterprise,720.08,Enterprise
363,2023-11-20,Basic,89.01,Enterprise
364,2020-11-04,Basic,35.49,Enterprise
365,2023-06-25,Pro,147.73,SMB
366,2023-01-03,Basic,39.84,Enterprise
367,2021-09-15,Enterprise,1589.23,SMB
368,2020-08-10,Enterprise,700.25,Enterprise
369,2021-06-20,Basic,24.23,Mid-Market
370,2020-01-03,Basic,41.82,Enterprise
371,2023-10-20,Enterprise,1494.74,SMB
372,2023-03-01,Basic,86.02,Enterprise
373,2020-11-14,Pro,444.56,SMB
374,2021-02-21,Pro,110.83,Enterprise
375,2020-11-12,Pro,180.01,Enterprise
376,2023-08-19,Pro,226.17,SMB
377,2023-11-21,Basic,88.64,SMB
378,2023-02-06,Basic,53.04,SMB
379,2022-02-12,Enterprise,807.92,Mid-Market
380,2023-06-28,Basic,97.07,Enterprise
381,2021-09-24,Pro,136.52,SMB
382,2020-08-31,Enterprise,980.48,Enterprise
383,2022-01-18,Pro,444.96,Enterprise
384,2022-05-31,Pro,477.21,Mid-Market
385,2022-01-02,Pro,294.92,Mid-Market
386,2022-08-18,Enterprise,512.16,Enterprise
387,2020-01-11,Enterprise,1099.57,SMB
388,2022-07-03,Basic,54.95,Mid-Market
389,2023-05-22,Enterprise,718.61,Mid-Market
390,2022-06-20,Enterprise,1063.98,SMB
391,2020-02-18,Pro,372.36,Enterprise
392,2023-08-07,Basic,37.06,Enterprise
393,2023-10-06,Pro,264.14,Mid-Market
394,2021-01-13,Pro,377.44,Mid-Market
395,2021-12-29,Enterprise,1839.06,Mid-Market
396,2023-06-29,Pro,424.57,SMB
397,2023-03-29,Pro,480.3,Enterprise
398,2023-12-12,Pro,293.43,Enterprise
399,2023-05-10,Basic,29.03,SMB
400,2023-09-21,Pro,301.35,Enterprise
401,2022-12-04,Basic,78.03,SMB
402,2023-01-22,Enterprise,554.01,Enterprise
403,2020-06-20,Basic,46.93,Enterprise
404,2021-10-25,Basic,55.37,Enterprise
405,2023-01-14,Pro,479.64,Mid-Market
406,2021-05-20,Enterprise,1168.19,Mid-Market
407,2020-09-06,Basic,30.48,SMB
408,2020-09-16,Basic,64.06,SMB
409,2020-10-29,Enterprise,738.38,Enterprise
410,2022-06-30,Enterprise,876.39,Mid-Market
411,2020-01-06,Enterprise,1289.91,Mid-Market
412,2022-11-17,Basic,34.6,Mid-Market
413,2020-10-26,Basic,55.18,SMB
414,2021-11-05,Pro,407.91,Mid-Market
415,2020-09-01,Basic,79.43,SMB
416,2023-05-07,Enterprise,1793.4,SMB
417,2022-10-14,Enterprise,1618.42,Enterprise
418,2023-01-26,Pro,266.7,Mid-Market
419,2020-07-10,Basic,72.4,Mid-Market
420,2020-04-30,Basic,54.51,SMB
421,2020-06-10,Enterprise,909.86,Mid-Market
422,2023-01-16,Pro,499.22,Enterprise
423,2020-09-28,Pro,119.57,Mid-Market
424,2020-05-13,Pro,445.97,Enterprise
425,2023-06-22,Enterprise,1690.6,Enterprise
426,2020-06-30,Basic,40.66,Mid-Market
427,2021-09-30,Basic,44.42,Enterprise
428,2022-05-24,Enterprise,806.78,Enterprise
429,2023-02-13,Basic,24.64,Mid-Market
430,2023-09-23,Enterprise,1550.45,Enterprise
431,2022-07-11,Enterprise,1037.63,Enterprise
432,2021-05-25,Pro,376.54,Mid-Market
433,2022-04-29,Pro,346.57,Mid-Market
434,2023-03-23,Basic,37.0,Mid-Market
435,2023-03-04,Basic,92.09,SMB
436,2020-08-15,Basic,92.65,Mid-Market
437,2022-12-19,Basic,25.36,Enterprise
438,2020-11-14,Basic,33.35,Enterprise
439,2020-11-19,Pro,166.31,Enterprise
440,2021-06-16,Enterprise,1309.35,Enterprise
441,2023-03-14,Basic,54.26,Enterprise
442,2023-09-28,Basic,98.79,Mid-Market
443,2021-04-01,Basic,79.49,SMB
444,2022-02-09,Basic,38.52,SMB
445,2020-11-03,Enterprise,884.38,SMB
446,2021-03-26,Enterprise,684.06,SMB
447,2021-11-23,Pro,385.31,SMB
448,2023-11-06,Pro,123.59,SMB
449,2023-10-13,Enterprise,886.51,SMB
450,2021-06-26,Pro,378.83,Mid-Market
451,2022-04-30,Pro,291.99,Enterprise
452,2021-11-14,Enterprise,1793.09,Mid-Market
453,2022-08-10,Enterprise,1466.56,Enterprise
454,2023-08-09,Basic,24.35,Mid-Market
455,2021-03-02,Enterprise,1290.33,Enterprise
456,2022-05-28,Enterprise,1781.2,Mid-Market
457,2021-08-03,Enterprise,930.02,SMB
458,2023-05-18,Enterprise,1926.49,Enterprise
459,2020-12-20,Basic,75.56,Enterprise
460,2020-09-04,Basic,96.47,Enterprise
461,2020-04-08,Basic,45.83,SMB
462,2023-08-14,Pro,107.7,Mid-Market
463,2023-09-25,Basic,21.45,Enterprise
464,2022-08-11,Basic,97.99,Mid-Market
465,2023-11-19,Enterprise,1638.43,Mid-Market
466,2022-06-01,Basic,26.98,Enterprise
467,2020-09-21,Pro,339.06,SMB
468,2022-04-10,Pro,361.51,SMB
469,2022-04-24,Basic,44.4,Mid-Market
470,2023-02-07,Basic,39.81,SMB
471,2020-01-31,Pro,353.53,SMB
472,2021-01-13,Enterprise,1658.0,Enterprise
473,2022-03-21,Enterprise,1979.4,Mid-Market
474,2020-08-31,Enterprise,1968.97,Mid-Market
475,2020-03-20,Enterprise,1012.8,Enterprise
476,2022-03-21,Basic,90.61,Mid-Market
477,2021-04-03,Enterprise,505.12,Enterprise
478,2023-10-05,Basic,57.53,Mid-Market
479,2022-01-04,Pro,407.92,Mid-Market
480,2020-05-19,Basic,47.44,SMB
481,2020-11-01,Basic,34.32,Enterprise
482,2020-03-16,Basic,90.71,SMB
483,2021-06-29,Pro,274.41,Enterprise
484,2022-03-05,Enterprise,546.47,Enterprise
485,2022-01-18,Pro,327.42,Enterprise
486,2021-03-18,Basic,91.22,SMB
487,2020-05-13,Basic,55.52,SMB
488,2023-10-31,Basic,42.9,Mid-Market
489,2020-04-12,Basic,60.54,SMB
490,2023-10-13,Pro,167.3,Enterprise
491,2020-10-06,Enterprise,1191.54,Mid-Market
492,2020-12-17,Pro,148.91,Mid-Market
493,2023-10-12,Pro,397.6,Mid-Market
494,2020-01-09,Pro,225.05,Mid-Market
495,2020-11-17,Pro,232.58,SMB
496,2020-08-08,Pro,487.8,Enterprise
497,2021-11-02,Pro,473.22,SMB
498,2021-10-01,Enterprise,1072.24,SMB
499,2022-09-01,Basic,99.16,Mid-Market
500,2020-03-20,Enterprise,846.17,SMB
501,2022-01-21,Basic,51.83,Mid-Market
502,2021-08-08,Basic,23.83,Mid-Market
503,2020-06-25,Enterprise,1428.68,Mid-Market
504,2022-02-05,Enterprise,1486.4,Enterprise
505,2020-08-10,Pro,406.92,Mid-Market
506,2022-12-21,Enterprise,1651.03,Enterprise
507,2022-04-26,Enterprise,1849.15,Mid-Market
508,2022-12-07,Pro,462.57,Enterprise
509,2023-08-08,Enterprise,1084.31,SMB
510,2021-01-10,Pro,428.81,Enterprise
511,2023-09-14,Basic,53.6,SMB
512,2021-10-28,Enterprise,999.26,Enterprise
513,2020-01-03,Pro,319.47,Mid-Market
514,2021-05-04,Basic,58.65,SMB
515,2021-02-16,Enterprise,1235.01,SMB
516,2022-01-01,Basic,41.21,Enterprise
517,2021-04-17,Enterprise,1502.8,Mid-Market
518,2021-07-27,Pro,115.4,Enterprise
519,2022-07-06,Basic,63.2,SMB
520,2020-05-20,Enterprise,1276.61,Enterprise
521,2021-01-20,Pro,240.05,SMB
522,2023-10-29,Pro,143.12,SMB
523,2021-02-13,Basic,66.83,Mid-Market
524,2023-10-10,Enterprise,1798.0,Mid-Market
525,2022-02-21,Pro,168.29,Mid-Market
526,2021-12-14,Pro,450.99,Enterprise
527,2020-09-14,Pro,317.47,Enterprise
528,2021-10-04,Basic,78.65,Enterprise
529,2021-05-23,Enterprise,1767.06,SMB
530,2023-12-30,Basic,33.74,Enterprise
531,2020-01-09,Basic,95.38,Mid-Market
532,2021-11-29,Basic,43.83,Mid-Market
533,2021-01-15,Pro,222.33,Enterprise
534,2022-10-03,Enterprise,1459.5,Mid-Market
535,2022-02-12,Basic,24.95,Enterprise
536,2020-11-15,Pro,191.8,SMB
537,2020-08-15,Enterprise,1248.85,Mid-Market
538,2020-03-10,Pro,459.51,Enterprise
539,2023-08-11,Basic,40.46,Enterprise
540,2022-05-21,Basic,93.29,SMB
541,2023-03-04,Basic,85.38,SMB
542,2022-05-28,Basic,32.58,Mid-Market
543,2023-08-06,Enterprise,1291.29,SMB
544,2020-12-25,Enterprise,1201.18,Mid-Market
545,2022-07-23,Basic,64.56,Enterprise
546,2023-07-01,Enterprise,617.24,SMB
547,2023-09-23,Basic,20.35,Enterprise
548,2020-01-13,Pro,475.61,Mid-Market
549,2021-07-26,Basic,74.42,Enterprise
550,2023-04-16,Basic,28.94,SMB
551,2022-01-08,Enterprise,575.17,Enterprise
552,2021-06-13,Pro,354.69,SMB
553,2020-09-11,Enterprise,1602.75,Mid-Market
554,2020-03-21,Basic,94.15,Enterprise
555,2023-07-12,Pro,431.39,SMB
556,2020-07-14,Basic,64.38,Mid-Market
557,2023-04-13,Pro,256.34,SMB
558,2020-06-06,Enterprise,1129.5,Enterprise
559,2021-07-05,Enterprise,548.67,SMB
560,2023-03-21,Pro,218.45,Enterprise
561,2021-07-05,Enterprise,857.86,Enterprise
562,2020-08-01,Basic,50.55,Mid-Market
563,2023-06-11,Pro,126.51,Mid-Market
564,2022-04-02,Enterprise,1141.35,Enterprise
565,2023-05-21,Basic,71.06,Mid-Market
566,2023-10-06,Pro,126.01,Enterprise
567,2023-12-08,Enterprise,1052.55,Enterprise
568,2023-09-18,Basic,63.39,Mid-Market
569,2020-11-29,Pro,459.56,Mid-Market
570,2020-02-27,Enterprise,1646.99,SMB
571,2022-10-15,Enterprise,1485.4,SMB
572,2022-03-15,Basic,36.4,Mid-Market
573,2023-04-20,Enterprise,1176.32,Mid-Market
574,2021-12-09,Basic,44.19,SMB
575,2022-06-24,Enterprise,1176.97,Enterprise
576,2023-05-29,Pro,286.17,SMB
577,2020-07-22,Basic,46.0,Mid-Market
578,2021-01-13,Pro,304.63,SMB
579,2021-01-16,Enterprise,1451.11,SMB
580,2021-08-25,Enterprise,960.19,Mid-Market
581,2021-11-03,Pro,247.93,SMB
582,2021-10-24,Enterprise,1195.06,Enterprise
583,2020-09-11,Pro,386.96,Mid-Market
584,2020-08-16,Basic,69.45,SMB
585,2021-03-13,Basic,57.43,Mid-Market
586,2022-11-22,Pro,484.3,Enterprise
587,2022-01-11,Pro,159.56,Mid-Market
588,2022-12-15,Enterprise,1510.81,Mid-Market
589,2023-12-19,Pro,436.72,SMB
590,2021-04-08,Pro,233.55,Enterprise
591,2023-11-23,Pro,150.48,SMB
592,2021-11-15,Basic,66.9,Mid-Market
593,2022-08-17,Pro,335.9,SMB
