customer_id,mrr,plan,contracting_date,segment,interaction_date,interaction_type,nps_last_research,event_date,logins_last_week,finished_tasks,active_users,num_opened_tickets,API Access,Advanced Reports,Attachments,Automations,Comments,Dashboards,Permission Control,Project Creation,SSO,Task Creation,weeks_since_last_interaction,tenure_in_years,weeks_since_last_usage_extraction
25,1188.62,Enterprise,2023-12-02,Enterprise,2026-05-25,Reunião QBR,7.0,2026-11-17,33.09090909090909,60.27272727272727,9.545454545454545,0.45454545454545453,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,27.0,2.9979466119096507,2.0
26,101.91,Pro,2023-11-20,SMB,2026-03-29,Suporte Técnico,,2026-10-26,14.5,61.333333333333336,10.833333333333334,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,35.0,3.030800821355236,5.0
27,453.18,Pro,2022-09-06,Mid-Market,2022-10-03,Email de Acompanhamento,8.0,2025-07-19,22.142857142857142,61.57142857142857,8.571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,217.0,4.236035049288062,71.0
28,365.66,Pro,2021-08-25,SMB,2023-07-19,Suporte Técnico,1.0,2024-05-09,25.714285714285715,44.42857142857143,11.142857142857142,0.14285714285714285,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,175.0,5.268827019625741,133.0
29,486.9,Pro,2023-03-07,Mid-Market,2025-04-15,Suporte Técnico,5.0,2025-08-27,19.2,72.4,10.2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,85.0,3.7371663244353184,65.0
30,1288.47,Enterprise,2020-09-26,Mid-Market,,,,2023-09-18,29.5,52.5,11.25,2.75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,6.178725068439578,167.0
31,1482.82,Enterprise,2023-09-14,Enterprise,2024-03-31,Suporte Técnico,,2026-08-05,27.4,58.2,10.4,2.8,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,139.0,3.2142368240930868,16.0
32,1822.63,Enterprise,2020-10-06,Mid-Market,2022-09-04,Suporte Técnico,2.0,2023-09-13,31.428571428571427,45.57142857142857,13.857142857142858,1.8571428571428572,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,221.0,6.151349237387564,167.0
33,1026.47,Enterprise,2020-02-05,Enterprise,2022-07-10,Reunião QBR,9.0,2022-06-17,21.818181818181817,45.45454545454545,8.727272727272727,1.1818181818181819,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,229.0,6.819319515056708,232.0
34,1707.89,Enterprise,2021-08-15,Enterprise,,,,2024-02-25,19.75,56.5,3.75,2.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,5.296211775445002,144.0
35,204.56,Pro,2023-11-05,Mid-Market,2025-08-14,Suporte Técnico,4.0,2026-07-21,20.714285714285715,59.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,67.0,3.0718685831622174,19.0
36,172.62,Pro,2021-10-21,Mid-Market,2023-01-28,Email de Acompanhamento,8.0,2024-06-20,29.4,70.8,9.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,200.0,5.112733911455956,127.0
37,71.72,Basic,2023-02-04,SMB,2023-11-01,Email de Acompanhamento,4.0,2024-10-03,27.0,43.0,12.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,160.0,3.8220396988364134,112.0
38,352.93,Pro,2022-12-29,Mid-Market,2025-10-17,Email de Acompanhamento,,2025-12-04,22.875,41.125,10.375,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,58.0,3.9238773274917853,51.0
39,260.85,Pro,2022-10-16,SMB,2024-07-18,Reunião QBR,,2025-09-29,22.857142857142858,28.571428571428573,13.428571428571429,0.5714285714285714,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,123.0,4.126506024096385,61.0
40,40.24,Basic,2023-06-12,Enterprise,2025-10-20,Email de Acompanhamento,0.0,2026-02-09,30.0,70.16666666666667,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,58.0,3.4715947980835042,42.0
41,95.06,Basic,2021-11-29,Mid-Market,2023-02-18,Suporte Técnico,5.0,2024-06-02,25.2,50.8,7.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,197.0,5.00593336376084,130.0
42,1376.93,Enterprise,2021-06-18,Enterprise,2023-10-18,Email de Acompanhamento,2.0,2022-07-16,18.666666666666668,78.0,5.0,1.6666666666666667,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,162.0,5.455043359196713,228.0
43,59.69,Basic,2023-12-12,Mid-Market,2024-11-29,Suporte Técnico,0.0,2026-10-16,27.5,31.25,8.125,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,104.0,2.97056810403833,6.0
44,60.93,Basic,2020-11-17,SMB,2022-04-12,Reunião QBR,7.0,2023-04-06,32.0,65.66666666666667,9.666666666666666,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,242.0,6.036370746969104,190.0
45,24.7,Basic,2022-07-09,Mid-Market,,,,2024-09-28,30.25,47.75,7.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,4.397590361445784,113.0
46,1749.32,Enterprise,2023-07-01,Mid-Market,2024-08-28,Reunião QBR,,2025-03-03,28.333333333333332,72.33333333333333,11.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,117.0,3.4195756331279945,91.0
47,91.14,Basic,2023-10-21,SMB,,,,2023-12-22,33.0,90.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,3.1129363449691994,153.0
48,84.09,Basic,2023-12-16,Enterprise,2026-10-06,Reunião QBR,6.0,2026-04-24,21.0,53.5,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,2.9596167008898013,31.0
49,81.48,Basic,2021-10-30,Enterprise,,,,2024-07-28,21.0,33.4,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,5.088087631218621,122.0
50,95.36,Basic,2021-02-13,SMB,2023-11-01,Suporte Técnico,3.0,2023-12-19,31.0,45.333333333333336,11.833333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,160.0,5.797352806937472,154.0
51,27.91,Basic,2020-11-30,SMB,,,,2023-06-07,26.75,59.0,15.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,6.0007821666014864,181.0
52,72.59,Basic,2022-08-26,Mid-Market,,,,2025-01-03,30.333333333333332,24.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,4.266155531215772,99.0
53,286.16,Pro,2020-12-27,SMB,2022-10-12,Suporte Técnico,9.0,2023-08-06,29.142857142857142,59.857142857142854,10.0,0.42857142857142855,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,215.0,5.926867422761048,173.0
54,293.4,Pro,2020-01-24,Mid-Market,2022-04-15,Reunião QBR,8.0,2022-11-08,21.6,67.4,7.6,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,241.0,6.852170512319124,212.0
55,972.55,Enterprise,2020-09-14,SMB,2021-06-22,Email de Acompanhamento,2.0,2022-11-15,17.0,42.5,7.0,2.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,284.0,6.211576065701995,211.0
56,1632.48,Enterprise,2023-04-10,Enterprise,2023-06-25,Suporte Técnico,7.0,2026-01-16,20.333333333333332,56.333333333333336,10.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,179.0,3.6440793976728267,45.0
57,77.62,Basic,2022-08-18,SMB,,,,2024-09-01,27.8,74.8,7.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,4.288061336254107,117.0
58,1906.11,Enterprise,2020-01-14,SMB,2022-01-21,Suporte Técnico,,2021-10-22,20.75,57.0,7.5,1.25,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,253.0,6.879546343371138,266.0
59,1515.54,Enterprise,2020-10-07,SMB,2023-07-20,Suporte Técnico,2.0,2023-03-21,19.8,61.8,6.6,1.8,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,175.0,6.148611654282362,193.0
60,55.84,Basic,2020-03-31,SMB,2022-08-12,Reunião QBR,9.0,2022-01-28,30.75,58.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,224.0,6.66875244427063,252.0
61,299.48,Pro,2021-02-17,Enterprise,2023-09-25,Reunião QBR,0.0,2024-01-08,23.571428571428573,56.0,11.857142857142858,0.14285714285714285,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,166.0,5.786398904609767,151.0
62,1618.03,Enterprise,2020-04-30,Enterprise,2021-06-30,Email de Acompanhamento,5.0,2023-04-04,30.857142857142858,45.0,11.142857142857142,2.142857142857143,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,282.0,6.586624951114588,191.0
63,89.58,Basic,2020-03-06,Enterprise,2022-02-25,Suporte Técnico,5.0,2022-12-11,36.857142857142854,32.0,10.857142857142858,0.14285714285714285,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,248.0,6.737192021900665,207.0
64,325.62,Pro,2021-01-24,SMB,2023-12-25,Email de Acompanhamento,5.0,2022-12-21,21.6,28.4,10.0,0.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,153.0,5.852122318575993,205.0
65,969.96,Enterprise,2021-07-21,Mid-Market,2024-02-15,Email de Acompanhamento,4.0,2024-05-25,24.142857142857142,46.0,9.285714285714286,0.7142857142857143,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,145.0,5.364673664993154,131.0
66,1639.39,Enterprise,2022-04-17,Mid-Market,2024-12-19,Suporte Técnico,1.0,2024-08-03,18.0,57.333333333333336,9.0,1.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,101.0,4.62486308871851,121.0
67,133.38,Pro,2021-05-01,Mid-Market,2023-05-14,Email de Acompanhamento,9.0,2024-01-18,21.0,57.0,6.5,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,185.0,5.586490187129164,149.0
68,1870.18,Enterprise,2021-05-04,Mid-Market,2023-08-17,Email de Acompanhamento,6.0,2024-02-15,22.2,32.2,13.8,0.8,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,171.0,5.578274760383386,145.0
69,158.39,Pro,2020-11-29,Mid-Market,2022-06-18,Suporte Técnico,1.0,2022-10-16,30.2,39.0,10.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,232.0,6.003519749706688,215.0
70,68.72,Basic,2020-10-04,SMB,2022-07-17,Reunião QBR,8.0,2023-05-23,32.0,46.5,7.333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,228.0,6.156824403597967,184.0
71,630.26,Enterprise,2022-07-12,Mid-Market,2024-10-04,Suporte Técnico,8.0,2025-04-11,25.625,62.0,11.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,112.0,4.389375684556407,85.0
72,352.95,Pro,2022-06-12,SMB,2023-04-02,Suporte Técnico,,2025-01-11,22.75,43.0,8.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,191.0,4.471522453450165,98.0
73,203.24,Pro,2021-12-26,SMB,2022-07-30,Suporte Técnico,2.0,2023-09-21,11.666666666666666,53.0,7.666666666666667,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,226.0,4.931994523048836,166.0
74,125.37,Pro,2022-04-20,SMB,2024-07-16,Suporte Técnico,8.0,2024-09-26,30.666666666666668,61.22222222222222,10.777777777777779,0.5555555555555556,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,124.0,4.616648411829135,113.0
75,443.19,Pro,2021-04-25,Mid-Market,2022-12-14,Email de Acompanhamento,9.0,2024-02-27,35.75,27.75,6.75,0.25,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,206.0,5.602921040620721,144.0
76,43.7,Basic,2022-11-10,Enterprise,,,,2025-05-12,11.0,58.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,4.058050383351588,81.0
77,57.94,Basic,2020-01-30,Enterprise,2023-01-13,Reunião QBR,3.0,2023-01-05,21.666666666666668,43.0,13.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,202.0,6.835745013687916,203.0
78,155.16,Pro,2023-04-08,SMB,2025-03-28,Email de Acompanhamento,,2026-03-21,23.272727272727273,40.72727272727273,8.090909090909092,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,87.0,3.649555099247091,36.0
79,223.39,Pro,2023-09-11,Enterprise,2026-06-17,Suporte Técnico,0.0,,,,,,,,,,,,,,,,23.0,3.2224503764544834,
80,1244.96,Enterprise,2021-10-27,SMB,2023-09-22,Suporte Técnico,3.0,2024-09-19,26.142857142857142,40.142857142857146,11.571428571428571,0.8571428571428571,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,166.0,5.096303057964399,114.0
81,57.53,Basic,2020-07-05,SMB,2022-05-08,Reunião QBR,2.0,2022-09-01,21.0,35.857142857142854,11.428571428571429,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,238.0,6.405944466171294,221.0
82,1551.95,Enterprise,2023-11-12,SMB,2024-11-09,Reunião QBR,,2026-11-11,26.6,50.2,14.2,3.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,107.0,3.052703627652293,2.0
83,29.94,Basic,2020-08-20,Enterprise,2023-01-08,Suporte Técnico,6.0,2023-05-05,26.5,41.0,10.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,203.0,6.28001564333203,186.0
84,243.96,Pro,2020-11-25,Enterprise,2023-07-11,Suporte Técnico,9.0,2023-11-09,28.333333333333332,56.833333333333336,13.5,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,177.0,6.0144700821274935,159.0
85,1837.77,Enterprise,2022-11-29,Mid-Market,2024-05-23,Suporte Técnico,6.0,2025-10-27,20.333333333333332,49.833333333333336,9.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,131.0,4.006024096385542,57.0
86,391.53,Pro,2022-09-18,Enterprise,,,,2025-04-12,24.4,43.0,10.8,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,4.2031763417305585,85.0
87,1657.14,Enterprise,2020-09-21,SMB,2021-08-18,Email de Acompanhamento,,2023-03-23,23.857142857142858,63.57142857142857,11.714285714285714,1.1428571428571428,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,275.0,6.192412983965585,192.0
88,475.43,Pro,2023-08-31,Enterprise,2025-03-17,Suporte Técnico,4.0,2025-03-03,28.75,45.75,7.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,89.0,3.252566735112936,91.0
89,1376.05,Enterprise,2023-07-29,SMB,2026-04-22,Suporte Técnico,7.0,2026-01-09,18.5,30.833333333333332,10.333333333333334,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,31.0,3.3429158110882957,46.0
90,404.65,Pro,2022-02-14,Mid-Market,2024-12-28,Suporte Técnico,7.0,2024-10-01,30.11111111111111,37.77777777777778,11.88888888888889,0.2222222222222222,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,100.0,4.794633077765608,113.0
91,511.42,Enterprise,2021-08-22,SMB,2023-06-10,Suporte Técnico,7.0,2024-08-12,23.0,40.22222222222222,10.555555555555555,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,181.0,5.27704244637152,120.0
92,441.65,Pro,2020-04-26,Enterprise,2022-01-16,Email de Acompanhamento,3.0,2023-03-03,33.0,41.0,11.0,0.5555555555555556,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,254.0,6.597575283535393,195.0
93,409.97,Pro,2022-06-16,Enterprise,2025-04-22,Suporte Técnico,,2025-03-08,13.0,21.5,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,84.0,4.460569550930997,90.0
94,165.8,Pro,2022-02-01,SMB,2024-11-11,Reunião QBR,0.0,2025-01-31,13.75,46.5,12.75,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,107.0,4.830230010952903,95.0
95,170.32,Pro,2023-04-26,SMB,2023-07-05,Reunião QBR,,2025-11-23,16.0,60.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,177.0,3.600273785078713,53.0
96,464.11,Pro,2022-11-24,Enterprise,,,,2025-08-18,40.0,53.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.019715224534502,67.0
97,91.68,Basic,2023-09-14,Enterprise,,,,2026-09-12,33.25,39.875,9.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,3.2142368240930868,11.0
98,36.02,Basic,2021-03-18,SMB,2023-08-11,Suporte Técnico,,2022-07-21,16.4,72.6,13.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,172.0,5.706983112733911,227.0
99,97.25,Basic,2023-07-01,Mid-Market,,,,2025-01-27,40.0,21.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,3.4195756331279945,96.0
100,1970.21,Enterprise,2021-02-27,Mid-Market,2023-05-24,Email de Acompanhamento,4.0,2023-06-05,5.0,35.0,16.666666666666668,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,183.0,5.759014148790507,182.0
101,1253.0,Enterprise,2021-09-25,Mid-Market,2024-06-11,Suporte Técnico,,2024-08-30,34.30769230769231,31.615384615384617,12.461538461538462,1.2307692307692308,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,129.0,5.183934276586034,117.0
102,63.57,Basic,2022-02-02,Mid-Market,2023-08-04,Reunião QBR,8.0,2023-06-16,29.333333333333332,13.666666666666666,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,173.0,4.827491785323111,180.0
103,1004.67,Enterprise,2023-07-31,Mid-Market,,,,2025-07-26,29.2,37.0,12.6,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,3.3374401095140316,70.0
104,891.29,Enterprise,2020-03-20,Enterprise,2023-01-16,Email de Acompanhamento,,2022-04-02,23.8,49.6,7.2,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,202.0,6.698865858427845,243.0
105,1727.41,Enterprise,2021-03-17,SMB,2021-11-10,Email de Acompanhamento,,2023-08-24,18.75,51.5,17.5,2.75,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,263.0,5.709721588315837,170.0
106,64.86,Basic,2022-03-27,SMB,2023-09-08,Email de Acompanhamento,10.0,2024-12-02,41.0,48.333333333333336,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,168.0,4.682365826944141,104.0
107,134.39,Pro,2020-01-03,SMB,2021-09-27,Suporte Técnico,5.0,2022-12-26,11.0,52.5,12.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,270.0,6.909659757528353,205.0
108,240.33,Pro,2020-03-09,Mid-Market,2022-06-06,Suporte Técnico,10.0,2022-05-14,24.2,43.6,13.4,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,234.0,6.728979272585061,237.0
109,42.74,Basic,2023-04-20,SMB,2026-03-23,Email de Acompanhamento,2.0,2025-03-21,35.0,60.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,36.0,3.6167008898015056,88.0
110,1627.83,Enterprise,2023-05-12,Mid-Market,,,,2026-01-24,21.2,48.8,11.2,1.8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,3.5564681724845997,44.0
111,291.37,Pro,2023-08-25,Mid-Market,,,,2025-12-19,24.666666666666668,58.666666666666664,12.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,3.268993839835729,49.0
